CellID,cell_x,cell_y,death_time,Mode
1,394.6235569,185.1323463,375,apoptosis
2,387.5988444,199.2744006,1095,apoptosis
3,404.5407981,206.9882483,1085,apoptosis
4,390.4913731,225.6300471,820,apoptosis
5,378.9212583,221.7731232,685,apoptosis
6,363.6321781,235.2723568,800,apoptosis
7,344.6241324,228.2013297,930,apoptosis
8,363.2189597,250.7000523,835,apoptosis
9,385.1195341,286.0551879,835,apoptosis
10,385.5327525,252.6285143,940,apoptosis
11,412.8051658,245.5574872,810,apoptosis
12,423.9620622,232.7010742,760,apoptosis
13,455.3666594,231.4154329,1095,apoptosis
17,452.8873491,293.126215,635,apoptosis
18,438.4247056,278.9841608,570,apoptosis
19,432.6396483,303.4113454,675,apoptosis
20,409.4994188,275.1272369,815,apoptosis
21,415.2844761,301.4828834,835,apoptosis
22,416.5241313,325.910068,765,apoptosis
23,399.9953959,314.982117,895,apoptosis
24,388.0120628,358.0511004,810,apoptosis
25,373.1362009,383.7639263,535,apoptosis
28,443.3833263,325.2672474,690,apoptosis
31,473.5482683,319.4818616,630,apoptosis
34,489.6637853,256.4854382,415,apoptosis
39,490.4902221,317.5533996,400,apoptosis
43,473.5482683,363.8364862,760,apoptosis
49,444.209763,440.3321432,470,apoptosis
50,442.5568895,454.4741974,495,apoptosis
56,441.3172343,576.6101204,510,apoptosis
60,496.6884978,408.8339315,775,apoptosis
73,569.8281518,253.9141556,335,apoptosis
74,591.3155078,268.0562098,900,apoptosis
75,604.5384961,258.4139001,710,apoptosis
76,616.9350476,258.4139001,520,apoptosis
77,632.2241278,259.6995414,515,apoptosis
78,621.0672315,230.1297916,575,apoptosis
80,630.5712543,215.9877374,870,apoptosis
81,633.463783,192.2033735,1030,apoptosis
83,614.0425189,203.1313245,650,apoptosis
84,607.4310248,195.4174767,355,apoptosis
85,618.5879212,172.2759334,990,apoptosis
86,597.927002,160.7051618,805,apoptosis
87,571.8942437,154.2769553,560,apoptosis
88,558.2580371,149.7772108,380,apoptosis
89,535.1178076,151.7056727,520,apoptosis
90,554.95229,170.9902921,580,apoptosis
92,610.7367719,282.8410847,585,apoptosis
93,586.7701056,314.3392964,400,apoptosis
