CellID,cell_x,cell_y,death_time,Mode
1,781.7051726,577.894253,420,apoptosis
2,737.8471266,519.8468392,770,apoptosis
3,732.6873565,535.3261495,780,apoptosis
4,714.6281611,537.9060346,500,apoptosis
5,712.048276,522.4267242,610,apoptosis
6,714.6281611,505.6574714,650,apoptosis
7,697.8589082,496.6278737,780,apoptosis
8,699.1488507,515.9770116,880,apoptosis
9,688.8293105,501.7876438,750,apoptosis
10,672.0600576,509.527299,1100,apoptosis
11,668.19023,522.4267242,400,apoptosis
12,652.7109197,519.8468392,1410,apoptosis
13,683.6695404,536.6160921,920,apoptosis
14,692.6991381,522.4267242,920,apoptosis
15,701.7287358,541.7758622,890,apoptosis
16,704.3086208,553.3853449,720,apoptosis
17,696.5689657,563.7048852,750,apoptosis
18,726.2376438,574.0244254,940,apoptosis
19,740.4270116,595.9534484,1170,apoptosis
20,730.1074714,594.6635059,1180,apoptosis
21,712.048276,599.823276,1050,apoptosis
22,701.7287358,589.5037358,330,apoptosis
23,701.7287358,577.894253,1130,apoptosis
24,687.539368,577.894253,760,apoptosis
25,687.539368,589.5037358,910,apoptosis
26,677.2198277,562.4149426,1040,apoptosis
27,657.8706898,546.9356323,1050,apoptosis
28,661.7405174,535.3261495,1000,apoptosis
29,642.3913794,549.5155174,310,apoptosis
30,647.5511496,527.5864944,1410,apoptosis
31,648.8410921,539.1959771,1410,apoptosis
32,626.9120691,531.4563219,820,apoptosis
33,620.4623564,554.6752875,830,apoptosis
34,638.5215519,557.2551725,310,apoptosis
35,629.4919542,572.7344829,1400,apoptosis
36,648.8410921,581.7640806,810,apoptosis
37,660.4505748,579.1841955,860,apoptosis
38,672.0600576,598.5333335,750,apoptosis
39,684.9594829,602.403161,810,apoptosis
40,705.5985634,617.8824714,1000,apoptosis
41,691.4091955,634.6517243,420,apoptosis
42,674.6399427,611.4327587,860,apoptosis
43,666.9002875,621.752299,850,apoptosis
44,646.261207,621.752299,1190,apoptosis
45,629.4919542,611.4327587,1060,apoptosis
46,632.0718392,597.2433909,1040,apoptosis
47,617.8824714,586.9238507,960,apoptosis
48,601.1132185,559.8350576,1070,apoptosis
49,597.2433909,581.7640806,1410,apoptosis
50,581.7640806,562.4149426,820,apoptosis
51,564.9948277,577.894253,1400,apoptosis
52,586.9238507,595.9534484,1010,apoptosis
53,593.3735633,616.5925289,890,apoptosis
54,604.9830461,630.7818967,900,apoptosis
55,617.8824714,633.3617817,1040,apoptosis
56,632.0718392,651.4209771,580,apoptosis
57,654.0008622,643.681322,520,apoptosis
58,672.0600576,652.7109197,870,apoptosis
59,678.5097703,669.4801726,910,apoptosis
60,693.9890806,673.3500001,430,apoptosis
61,688.8293105,654.0008622,810,apoptosis
62,704.3086208,664.3204024,690,apoptosis
63,715.9181036,650.1310346,430,apoptosis
64,722.3678162,672.0600576,500,apoptosis
65,740.4270116,673.3500001,420,apoptosis
66,750.7465519,657.8706898,460,apoptosis
67,735.2672415,652.7109197,460,apoptosis
68,715.9181036,634.6517243,890,apoptosis
69,730.1074714,633.3617817,580,apoptosis
70,733.977299,621.752299,670,apoptosis
71,748.1666668,626.9120691,330,apoptosis
72,758.4862071,620.4623564,770,apoptosis
73,752.0364944,641.1014369,770,apoptosis
74,762.3560346,672.0600576,730,apoptosis
75,770.0956898,648.8410921,400,apoptosis
