CellID,cell_x,cell_y,death_time,Mode
225,775.2554599,555.96523,350,necrosis
226,739.1370691,563.7048852,490,necrosis
227,754.6163795,571.4445403,530,necrosis
228,762.3560346,581.7640806,480,necrosis
229,773.9655174,544.3557472,560,necrosis
254,1176.427586,503.0775863,230,necrosis
255,1189.327012,503.0775863,240,necrosis
256,1193.196839,517.2669541,240,necrosis
257,1204.806322,536.6160921,250,necrosis
258,1208.67615,552.0954024,250,necrosis
259,1218.99569,562.4149426,250,necrosis
260,1216.415805,577.894253,270,necrosis
261,1216.415805,593.3735633,250,necrosis
262,1233.185058,611.4327587,250,necrosis
263,1218.99569,634.6517243,240,necrosis
264,1206.096265,638.5215519,250,necrosis
265,1191.906897,628.2020116,250,necrosis
266,1207.386207,614.0126438,250,necrosis
267,1200.936494,599.823276,260,necrosis
268,1204.806322,585.6339082,260,necrosis
269,1199.646552,576.6043105,210,necrosis
270,1186.747127,567.5747128,240,necrosis
271,1199.646552,558.5451151,250,necrosis
272,1193.196839,545.6456898,260,necrosis
273,1190.616954,534.036207,260,necrosis
274,1177.717529,549.5155174,210,necrosis
275,1169.977874,523.7166668,210,necrosis
276,1159.658334,518.5568967,220,necrosis
277,1150.628736,523.7166668,270,necrosis
278,1137.729311,521.1367817,200,necrosis
279,1128.699713,508.2373564,200,necrosis
280,1104.190805,504.3675288,220,necrosis
281,1111.93046,513.3971265,190,necrosis
282,1122.25,518.5568967,190,necrosis
283,1120.960058,530.1663794,170,necrosis
284,1110.640517,537.9060346,280,necrosis
285,1135.149426,544.3557472,210,necrosis
286,1154.498563,544.3557472,230,necrosis
287,1163.528161,555.96523,230,necrosis
288,1155.788506,563.7048852,230,necrosis
289,1164.818104,571.4445403,260,necrosis
290,1173.847701,581.7640806,300,necrosis
291,1182.877299,592.0836208,260,necrosis
292,1172.557759,615.3025863,270,necrosis
293,1172.557759,630.7818967,270,necrosis
294,1181.587357,641.1014369,270,necrosis
295,1194.486782,646.261207,240,necrosis
296,1216.415805,655.2908047,250,necrosis
297,1209.966092,666.9002875,200,necrosis
298,1182.877299,660.4505748,210,necrosis
299,1171.267816,665.610345,250,necrosis
300,1168.687931,652.7109197,250,necrosis
301,1154.498563,656.5807473,280,necrosis
302,1137.729311,660.4505748,290,necrosis
303,1154.498563,629.4919542,280,necrosis
304,1141.599138,620.4623564,270,necrosis
305,1133.859483,612.7227013,280,necrosis
306,1150.628736,603.6931036,270,necrosis
307,1158.368391,589.5037358,260,necrosis
308,1144.179023,588.2137932,280,necrosis
309,1131.279598,588.2137932,290,necrosis
310,1141.599138,577.894253,260,necrosis
311,1132.56954,563.7048852,230,necrosis
312,1120.960058,557.2551725,210,necrosis
313,1109.350575,550.8054599,200,necrosis
314,1109.350575,572.7344829,240,necrosis
315,1100.320977,563.7048852,220,necrosis
316,1091.29138,555.96523,200,necrosis
317,1091.29138,543.0658047,190,necrosis
318,1104.190805,528.8764369,200,necrosis
319,1096.45115,515.9770116,200,necrosis
320,1086.131609,523.7166668,220,necrosis
321,1087.421552,506.9474139,230,necrosis
322,1071.942242,505.6574714,250,necrosis
323,1069.362357,519.8468392,240,necrosis
324,1059.042816,508.2373564,280,necrosis
325,1059.042816,526.2965518,270,necrosis
326,1071.942242,532.7462645,220,necrosis
327,1059.042816,544.3557472,330,necrosis
328,1070.652299,558.5451151,230,necrosis
329,1079.681897,570.1545978,210,necrosis
330,1086.131609,577.894253,220,necrosis
331,1102.900862,589.5037358,270,necrosis
332,1110.640517,607.5629312,280,necrosis
333,1123.539943,604.9830461,300,necrosis
334,1122.25,615.3025863,300,necrosis
335,1123.539943,629.4919542,320,necrosis
336,1131.279598,639.8114944,300,necrosis
337,1123.539943,655.2908047,320,necrosis
338,1114.510345,672.0600576,320,necrosis
339,1120.960058,682.3795978,330,necrosis
340,1137.729311,687.539368,290,necrosis
341,1157.078449,686.2494254,260,necrosis
342,1175.137644,687.539368,230,necrosis
343,1200.936494,693.9890806,190,necrosis
344,1189.327012,703.0186783,220,necrosis
345,1185.457184,718.4979887,310,necrosis
346,1169.977874,703.0186783,230,necrosis
347,1176.427586,724.9477013,300,necrosis
348,1169.977874,733.977299,360,necrosis
349,1155.788506,731.3974139,370,necrosis
350,1145.468966,714.6281611,300,necrosis
351,1132.56954,703.0186783,310,necrosis
352,1139.019253,724.9477013,340,necrosis
353,1136.439368,739.1370691,360,necrosis
354,1149.338793,740.4270116,370,necrosis
355,1166.108046,745.5867818,380,necrosis
356,1155.788506,755.906322,340,necrosis
357,1146.758908,762.3560346,330,necrosis
358,1133.859483,762.3560346,300,necrosis
359,1128.699713,746.8767243,340,necrosis
360,1117.09023,732.6873565,320,necrosis
361,1106.77069,741.7169542,350,necrosis
362,1115.800288,759.7761496,300,necrosis
363,1115.800288,772.6755749,270,necrosis
364,1127.40977,781.7051726,290,necrosis
365,1140.309196,785.5750002,290,necrosis
366,1126.119828,790.7347703,280,necrosis
367,1126.119828,804.9241381,270,necrosis
368,1104.190805,826.8531611,230,necrosis
369,1083.551724,833.3028737,200,necrosis
370,1078.391954,824.273276,150,necrosis
371,1092.581322,819.1135059,210,necrosis
372,1104.190805,806.2140806,230,necrosis
373,1093.871265,806.2140806,200,necrosis
374,1113.220403,797.1844829,280,necrosis
375,1091.29138,793.3146553,220,necrosis
376,1104.190805,792.0247128,240,necrosis
377,1106.77069,777.835345,250,necrosis
378,1092.581322,771.3856323,270,necrosis
379,1102.900862,762.3560346,270,necrosis
380,1090.001437,755.906322,290,necrosis
381,1090.001437,740.4270116,290,necrosis
382,1101.61092,728.8175289,360,necrosis
383,1129.989655,719.7879312,330,necrosis
384,1120.960058,713.3382185,340,necrosis
385,1109.350575,699.1488507,350,necrosis
386,1102.900862,714.6281611,370,necrosis
387,1092.581322,705.5985634,370,necrosis
388,1087.421552,723.6577588,360,necrosis
389,1068.072414,740.4270116,390,necrosis
390,1075.812069,750.7465519,320,necrosis
391,1069.362357,759.7761496,320,necrosis
392,1074.522127,768.8057473,300,necrosis
393,1070.652299,779.1252875,240,necrosis
394,1084.841667,785.5750002,230,necrosis
395,1084.841667,797.1844829,200,necrosis
396,1075.812069,795.8945404,220,necrosis
397,1066.782471,798.4744255,210,necrosis
398,1077.102012,808.7939657,190,necrosis
399,1069.362357,815.2436783,200,necrosis
400,1061.622701,807.5040232,210,necrosis
401,1059.042816,819.1135059,190,necrosis
402,1042.273563,811.3738507,230,necrosis
403,1046.143391,795.8945404,240,necrosis
404,1057.752874,789.4448277,230,necrosis
405,1060.332759,773.9655174,260,necrosis
406,1043.563506,781.7051726,270,necrosis
407,1038.403736,795.8945404,250,necrosis
408,1030.664081,808.7939657,260,necrosis
409,1012.604885,813.9537358,290,necrosis
410,997.1255749,810.0839082,290,necrosis
411,1007.445115,794.6045979,290,necrosis
412,1019.054598,785.5750002,280,necrosis
413,1028.084196,792.0247128,280,necrosis
414,1025.504311,776.5454025,260,necrosis
415,1037.113793,768.8057473,270,necrosis
416,1047.433334,757.1962645,340,necrosis
417,1055.172989,750.7465519,350,necrosis
418,1046.143391,741.7169542,340,necrosis
419,1052.593104,730.1074714,370,necrosis
420,1059.042816,715.9181036,370,necrosis
421,1042.273563,721.0778737,380,necrosis
422,1047.433334,705.5985634,420,necrosis
423,1069.362357,713.3382185,370,necrosis
424,1077.102012,708.1784484,360,necrosis
425,1097.741092,656.5807473,280,necrosis
426,1039.693678,697.8589082,490,necrosis
427,1002.285345,678.5097703,500,necrosis
428,1010.025,695.2790231,440,necrosis
429,1025.504311,699.1488507,410,necrosis
430,1017.764655,710.7583335,390,necrosis
431,1028.084196,719.7879312,430,necrosis
432,1020.34454,727.5275864,350,necrosis
433,1033.243966,741.7169542,350,necrosis
434,1024.214368,757.1962645,340,necrosis
435,1013.894828,732.6873565,310,necrosis
436,999.70546,730.1074714,380,necrosis
437,993.2557473,714.6281611,400,necrosis
438,1000.995403,709.468391,460,necrosis
439,1012.604885,706.8885059,390,necrosis
440,989.3859197,688.8293105,450,necrosis
441,989.3859197,674.6399427,480,necrosis
442,979.0663795,657.8706898,500,necrosis
443,973.9066094,672.0600576,430,necrosis
444,967.4568968,687.539368,480,necrosis
445,958.427299,712.048276,400,necrosis
446,975.1965519,712.048276,450,necrosis
447,986.8060347,739.1370691,420,necrosis
448,975.1965519,732.6873565,410,necrosis
449,963.5870692,731.3974139,350,necrosis
450,955.847414,745.5867818,340,necrosis
451,968.7468393,745.5867818,390,necrosis
452,966.1669542,757.1962645,350,necrosis
453,979.0663795,762.3560346,370,necrosis
454,995.8356324,750.7465519,380,necrosis
455,1007.445115,767.5158048,320,necrosis
456,993.2557473,780.41523,150,necrosis
457,991.9658048,781.7051726,340,necrosis
458,990.6758623,794.6045979,340,necrosis
459,985.5160922,803.6341956,300,necrosis
460,975.1965519,803.6341956,390,necrosis
461,966.1669542,795.8945404,50,necrosis
462,980.356322,779.1252875,360,necrosis
463,966.1669542,777.835345,360,necrosis
464,954.5574715,790.7347703,340,necrosis
465,939.0781611,785.5750002,330,necrosis
466,928.7586209,775.2554599,320,necrosis
467,939.0781611,766.2258622,200,necrosis
468,950.6876439,762.3560346,310,necrosis
469,939.0781611,745.5867818,270,necrosis
470,931.3385059,754.6163795,290,necrosis
471,919.7290232,771.3856323,330,necrosis
472,914.5692531,759.7761496,320,necrosis
473,921.0189657,740.4270116,290,necrosis
474,923.5988508,728.8175289,330,necrosis
475,941.6580462,731.3974139,320,necrosis
476,932.6284485,722.3678162,300,necrosis
477,944.2379312,709.468391,420,necrosis
478,950.6876439,684.9594829,540,necrosis
479,961.0071841,670.7701151,470,necrosis
480,953.2675289,652.7109197,520,necrosis
481,973.9066094,656.5807473,600,necrosis
482,951.9775864,669.4801726,560,necrosis
483,945.5278738,654.0008622,700,necrosis
