CellID,cell_x,cell_y,death_time,Mode
1,394.6235569,185.1323463,375,apoptosis
2,387.5988444,199.2744006,1095,apoptosis
3,404.5407981,206.9882483,1085,apoptosis
4,390.4913731,225.6300471,820,apoptosis
5,378.9212583,221.7731232,685,apoptosis
6,363.6321781,235.2723568,800,apoptosis
7,344.6241324,228.2013297,930,apoptosis
8,363.2189597,250.7000523,835,apoptosis
9,385.1195341,286.0551879,835,apoptosis
10,385.5327525,252.6285143,940,apoptosis
11,412.8051658,245.5574872,810,apoptosis
12,423.9620622,232.7010742,760,apoptosis
13,455.3666594,231.4154329,1095,apoptosis
14,464.4574639,248.7715904,195,necrosis
15,450.8212572,264.1992859,230,necrosis
16,457.4327513,278.3413402,230,necrosis
17,452.8873491,293.126215,635,apoptosis
18,438.4247056,278.9841608,570,apoptosis
19,432.6396483,303.4113454,675,apoptosis
20,409.4994188,275.1272369,815,apoptosis
21,415.2844761,301.4828834,835,apoptosis
22,416.5241313,325.910068,765,apoptosis
23,399.9953959,314.982117,895,apoptosis
24,388.0120628,358.0511004,810,apoptosis
25,373.1362009,383.7639263,535,apoptosis
26,414.8712577,366.4077688,380,necrosis
27,437.5982689,362.5508449,365,necrosis
28,443.3833263,325.2672474,690,apoptosis
29,462.8045903,358.693921,375,necrosis
30,465.697119,336.1951984,310,necrosis
31,473.5482683,319.4818616,630,apoptosis
32,472.3086132,291.8405737,180,necrosis
33,482.2258544,276.4128782,180,necrosis
34,489.6637853,256.4854382,415,apoptosis
35,503.7132104,222.4159439,265,necrosis
36,515.2833251,227.558509,320,necrosis
37,505.7793023,244.9146665,310,necrosis
38,495.4488427,298.2687802,190,necrosis
39,490.4902221,317.5533996,400,apoptosis
40,489.6637853,332.9810951,275,necrosis
41,478.5068889,345.8375081,255,necrosis
42,489.6637853,359.3367417,230,necrosis
43,473.5482683,363.8364862,760,apoptosis
44,470.6557396,387.6208501,230,necrosis
45,452.8873491,390.8349534,220,necrosis
46,450.4080388,413.333676,265,necrosis
47,440.904016,430.0470128,250,necrosis
48,430.9867747,457.6883007,245,necrosis
49,444.209763,440.3321432,470,apoptosis
50,442.5568895,454.4741974,495,apoptosis
51,459.4988432,468.6162517,215,necrosis
