CellID,cell_x,cell_y,death_time,Mode
14,464.4574639,248.7715904,195,necrosis
15,450.8212572,264.1992859,230,necrosis
16,457.4327513,278.3413402,230,necrosis
26,414.8712577,366.4077688,380,necrosis
27,437.5982689,362.5508449,365,necrosis
29,462.8045903,358.693921,375,necrosis
30,465.697119,336.1951984,310,necrosis
32,472.3086132,291.8405737,180,necrosis
33,482.2258544,276.4128782,180,necrosis
35,503.7132104,222.4159439,265,necrosis
36,515.2833251,227.558509,320,necrosis
37,505.7793023,244.9146665,310,necrosis
38,495.4488427,298.2687802,190,necrosis
40,489.6637853,332.9810951,275,necrosis
41,478.5068889,345.8375081,255,necrosis
42,489.6637853,359.3367417,230,necrosis
44,470.6557396,387.6208501,230,necrosis
45,452.8873491,390.8349534,220,necrosis
46,450.4080388,413.333676,265,necrosis
47,440.904016,430.0470128,250,necrosis
48,430.9867747,457.6883007,245,necrosis
51,459.4988432,468.6162517,215,necrosis
52,459.9120616,503.3285666,205,necrosis
53,450.4080388,506.5426698,205,necrosis
54,437.5982689,491.1149743,210,necrosis
55,440.4907976,542.5406261,240,necrosis
57,473.5482683,415.9049586,185,necrosis
58,480.9861992,439.0465019,165,necrosis
59,488.0109118,428.1185509,225,necrosis
61,487.5976934,392.1205947,270,necrosis
62,495.4488427,385.6923882,225,necrosis
63,504.9528655,351.6228939,320,necrosis
64,510.7379229,307.9110899,295,necrosis
65,516.5229803,296.3403183,310,necrosis
66,523.5476928,280.9126227,330,necrosis
67,521.8948193,248.1287697,310,necrosis
68,519.415509,229.486971,300,necrosis
69,522.3080376,213.4164548,300,necrosis
70,552.4729797,226.2728677,320,necrosis
71,550.4068878,223.0587645,360,necrosis
72,538.836773,217.2733787,325,necrosis
79,595.0344733,239.1292807,365,necrosis
82,619.4143579,196.703118,290,necrosis
91,624.3729785,278.3413402,285,necrosis
98,535.1178076,339.4093016,235,necrosis
99,519.0022906,356.1226384,300,necrosis
104,590.9022894,378.6213611,200,necrosis
105,570.6545886,388.2636708,245,necrosis
106,540.0764282,400.4772631,150,necrosis
111,511.1511413,422.3331651,230,necrosis
118,563.2166577,431.3326541,185,necrosis
119,475.2011418,468.6162517,170,necrosis
120,489.2505669,469.901893,215,necrosis
121,502.4735552,456.4026594,235,necrosis
122,530.1591869,458.3311213,275,necrosis
123,527.2666583,471.8303549,200,necrosis
124,523.5476928,483.4011265,215,necrosis
125,508.671831,479.5442027,205,necrosis
126,502.0603368,491.757795,200,necrosis
127,494.6224059,503.9713872,200,necrosis
128,496.6884978,538.6837022,275,necrosis
129,506.1925207,526.4701099,170,necrosis
132,531.3988421,518.7562621,135,necrosis
133,538.4235546,505.2570285,185,necrosis
134,547.1011407,485.3295885,230,necrosis
137,568.1752783,473.1159962,110,necrosis
138,561.9770025,485.9724091,130,necrosis
139,550.8201062,519.3990828,215,necrosis
140,546.6879223,536.1124196,190,necrosis
141,539.6632098,552.1829358,200,necrosis
142,515.2833251,549.6116532,185,necrosis
145,524.3741296,578.5385823,260,necrosis
146,511.1511413,577.8957617,210,necrosis
148,494.6224059,597.1803811,205,necrosis
149,495.8620611,626.1073102,260,necrosis
150,509.4982677,619.0362831,260,necrosis
151,520.2419457,626.1073102,255,necrosis
152,528.093095,633.8211579,265,necrosis
157,567.7620599,574.0388378,145,necrosis
158,557.4316003,552.8257564,150,necrosis
164,502.4735552,642.820647,200,necrosis
165,515.6965435,662.7480871,290,necrosis
168,514.4568883,691.6750162,380,necrosis
170,498.3413714,664.676549,1225,necrosis
182,470.2425212,748.2432331,945,necrosis
192,536.7706811,650.5344948,330,necrosis
208,557.8448187,714.8165595,215,necrosis
222,600.4063123,579.8242236,260,necrosis
223,609.4971167,579.1814029,260,necrosis
224,600.4063123,602.9657669,300,necrosis
239,638.835622,647.3203915,305,necrosis
241,648.3396448,672.3903968,230,necrosis
243,639.6620588,698.1032226,205,necrosis
244,632.2241278,694.8891194,220,necrosis
245,644.6206794,696.8175813,220,necrosis
252,643.7942426,726.3873311,215,necrosis
253,649.1660816,741.172206,225,necrosis
276,618.1747028,579.8242236,735,necrosis
285,621.0672315,527.7557512,260,necrosis
286,590.9022894,543.8262674,180,necrosis
287,580.9850482,539.9693435,185,necrosis
288,561.9770025,525.1844686,130,necrosis
289,571.8942437,515.5421589,160,necrosis
291,600.4063123,522.613186,210,necrosis
292,604.9517145,507.8283111,210,necrosis
293,627.6787256,497.5431808,195,necrosis
295,633.463783,466.6877897,220,necrosis
296,622.720105,451.9029148,155,necrosis
297,609.4971167,475.0444581,235,necrosis
298,594.6212549,484.0439472,225,necrosis
302,590.0758527,411.4052141,225,necrosis
304,613.6293006,430.0470128,130,necrosis
305,602.4724042,413.333676,235,necrosis
306,604.1252777,399.8344424,240,necrosis
307,612.3896454,392.7634153,165,necrosis
309,634.7034381,429.4041922,280,necrosis
310,640.9017139,443.5462464,225,necrosis
311,640.4884955,458.973942,235,necrosis
312,649.1660816,453.8313768,245,necrosis
313,658.256886,469.2590723,245,necrosis
320,653.2982654,449.3316323,265,necrosis
326,641.3149323,382.478285,190,necrosis
327,648.7528632,381.8354643,190,necrosis
331,621.4804499,342.6234049,250,necrosis
332,614.8689557,324.6244267,240,necrosis
333,625.1994153,305.3398073,255,necrosis
334,630.9844727,296.3403183,235,necrosis
335,643.7942426,304.6969867,240,necrosis
336,647.9264264,329.1241713,185,necrosis
337,638.0091852,333.6239158,315,necrosis
338,628.091944,328.4813506,295,necrosis
340,657.8436677,355.4798178,155,necrosis
344,690.48792,411.4052141,285,necrosis
345,689.2482649,391.477774,245,necrosis
346,681.8103339,379.9070024,280,necrosis
