CellID,cell_x,cell_y,death_time,Mode
1,605.7781513,160.0623411,310,necrosis
2,604.5384961,172.918754,295,necrosis
3,617.7614844,165.8477269,310,necrosis
4,614.8689557,188.3464496,280,necrosis
5,632.6373462,201.8456832,275,necrosis
6,651.6453919,188.9892702,270,necrosis
7,660.7361964,182.5610637,280,necrosis
8,665.694817,204.4169657,235,necrosis
9,674.372403,211.4879929,250,necrosis
10,666.1080353,220.4874819,260,necrosis
11,674.7856214,240.414922,240,necrosis
12,689.2482649,229.486971,235,necrosis
13,661.1494147,236.5579981,230,necrosis
14,657.8436677,212.1308135,225,necrosis
15,646.6867713,215.9877374,260,necrosis
16,642.9678058,236.5579981,225,necrosis
17,637.1827485,255.8426175,230,necrosis
18,634.2902198,278.9841608,235,necrosis
19,640.0752771,295.054677,195,necrosis
20,647.9264264,279.6269814,205,necrosis
21,653.2982654,261.6280033,230,necrosis
22,663.2155067,262.270824,235,necrosis
23,679.744242,251.9856936,220,necrosis
24,695.0333222,249.414411,205,necrosis
25,712.8017128,260.9851827,190,necrosis
26,705.3637818,268.6990304,250,necrosis
27,704.9505635,283.4839053,180,necrosis
28,695.859759,261.6280033,250,necrosis
29,695.859759,297.6259596,210,necrosis
31,677.2649317,272.5559543,235,necrosis
32,670.6534376,282.8410847,220,necrosis
33,678.9178053,293.7690357,205,necrosis
34,670.2402192,304.054166,180,necrosis
35,665.2815986,294.4118563,115,necrosis
36,664.0419434,313.6964757,200,necrosis
37,644.207461,318.8390409,200,necrosis
38,636.3563117,326.5528887,195,necrosis
39,626.0258521,329.7669919,185,necrosis
40,633.0505646,342.6234049,180,necrosis
41,614.4557373,333.6239158,155,necrosis
42,620.2407947,321.4103235,145,necrosis
43,620.2407947,289.9121118,130,necrosis
44,616.1086109,306.6254486,130,necrosis
45,609.4971167,311.7680138,145,necrosis
46,600.4063123,329.7669919,145,necrosis
47,600.4063123,322.6959648,145,necrosis
51,618.1747028,283.4839053,230,necrosis
52,612.8028638,257.7710794,235,necrosis
53,630.9844727,259.6995414,175,necrosis
54,624.3729785,250.7000523,235,necrosis
55,627.2655072,225.6300471,220,necrosis
56,617.348266,233.3438949,285,necrosis
57,605.7781513,237.2008187,270,necrosis
58,600.8195306,262.9136446,310,necrosis
59,596.6873468,283.4839053,310,necrosis
60,585.9436688,293.7690357,205,necrosis
61,574.3735541,295.054677,190,necrosis
62,566.1091864,284.7695466,165,necrosis
63,569.0017151,271.9131337,195,necrosis
66,597.927002,201.2028625,260,necrosis
67,607.8442432,194.1318354,260,necrosis
68,585.9436688,217.2733787,305,necrosis
69,588.8361975,190.2749115,345,necrosis
70,577.2660827,197.3459386,310,necrosis
71,576.8528644,179.3469605,340,necrosis
72,563.6298761,179.9897812,380,necrosis
74,572.7206805,228.8441503,320,necrosis
80,521.4816009,221.7731232,255,necrosis
81,554.95229,250.7000523,245,necrosis
82,563.6298761,307.9110899,125,necrosis
83,555.3655084,311.7680138,195,necrosis
84,545.4482672,310.4823725,130,necrosis
85,539.2499914,280.9126227,210,necrosis
87,502.0603368,242.3433839,230,necrosis
88,502.0603368,225.6300471,240,necrosis
89,474.3747051,250.7000523,250,necrosis
97,536.7706811,354.1941765,175,necrosis
98,517.7626354,356.7654591,205,necrosis
99,526.4402215,344.5518668,205,necrosis
100,515.2833251,338.1236603,210,necrosis
101,504.1264287,362.5508449,215,necrosis
102,488.8373485,354.8369971,240,necrosis
103,500.8206817,336.838019,250,necrosis
104,500.8206817,322.6959648,330,necrosis
111,409.4994188,293.126215,175,necrosis
112,529.7459686,383.7639263,375,necrosis
114,503.7132104,403.6913663,305,necrosis
115,497.5149346,383.7639263,260,necrosis
117,480.9861992,412.0480347,380,necrosis
118,492.1430956,422.3331651,300,necrosis
129,479.7465441,462.1880452,300,necrosis
166,721.4792988,291.1977531,190,necrosis
167,700.8183796,312.4108344,200,necrosis
168,682.6367707,307.9110899,235,necrosis
169,677.2649317,320.1246822,180,necrosis
170,686.3557362,325.2672474,205,necrosis
171,698.3390693,348.4087907,200,necrosis
172,707.4298738,348.4087907,180,necrosis
173,709.9091841,338.1236603,205,necrosis
174,723.9586091,335.5523777,200,necrosis
175,743.3798732,358.0511004,340,necrosis
176,740.9005629,379.2641817,210,necrosis
177,731.8097584,366.4077688,225,necrosis
178,726.0247011,382.478285,215,necrosis
179,716.9338966,375.4072578,165,necrosis
180,718.1735518,359.3367417,190,necrosis
181,702.4712532,365.7649481,155,necrosis
182,695.4465406,358.0511004,220,necrosis
183,683.8764259,368.3362307,145,necrosis
184,695.859759,379.9070024,180,necrosis
185,699.1655061,397.9059805,190,necrosis
186,713.6281495,402.405725,200,necrosis
187,735.1155055,399.8344424,255,necrosis
188,742.5534364,426.8329096,365,necrosis
189,722.718954,421.6903444,205,necrosis
190,702.8844715,410.7623934,250,necrosis
191,690.9011384,397.2631598,255,necrosis
195,672.3063111,363.1936656,120,necrosis
196,664.8683802,336.1951984,220,necrosis
197,653.2982654,331.6954539,200,necrosis
198,653.2982654,348.4087907,195,necrosis
199,659.4965412,361.2652036,245,necrosis
200,657.0172309,374.1216166,220,necrosis
201,656.1907941,391.477774,285,necrosis
202,664.8683802,412.6908554,280,necrosis
203,671.066656,428.1185509,285,necrosis
204,679.744242,422.3331651,255,necrosis
205,681.3971156,434.5467574,245,necrosis
206,686.7689546,447.4031703,245,necrosis
207,698.3390693,437.11804,225,necrosis
208,700.4051612,459.6167626,235,necrosis
209,713.6281495,449.3316323,225,necrosis
210,725.1982643,448.045991,225,necrosis
211,728.090793,471.8303549,160,necrosis
212,738.4212526,469.2590723,180,necrosis
213,745.8591835,450.6172735,200,necrosis
214,758.6689534,440.9749638,210,necrosis
216,787.5942403,375.4072578,205,necrosis
218,780.9827462,445.4747084,230,necrosis
219,789.2471138,458.973942,245,necrosis
220,782.6356197,472.4731755,180,necrosis
221,782.6356197,493.0434362,190,necrosis
222,767.7597579,505.2570285,195,necrosis
223,763.2143556,488.5436917,195,necrosis
224,764.0407924,469.2590723,475,necrosis
225,755.7764247,481.4726646,195,necrosis
226,744.20631,489.829333,200,necrosis
227,726.4379194,502.0429253,230,necrosis
228,735.5287239,516.1849795,270,necrosis
229,747.9252754,512.9708763,205,necrosis
230,757.8425166,512.3280557,210,necrosis
232,778.9166542,548.3260119,260,necrosis
233,801.6436654,543.1834467,295,necrosis
234,785.9413668,518.1134415,485,necrosis
235,803.7097573,516.8278002,270,necrosis
236,801.6436654,483.4011265,285,necrosis
237,815.279872,483.4011265,245,necrosis
238,827.2632052,487.2580504,410,necrosis
239,845.4448141,457.6883007,225,necrosis
240,839.2465383,502.0429253,240,necrosis
242,830.9821706,520.0419034,215,necrosis
243,812.8005617,536.1124196,220,necrosis
244,810.3212514,562.4680661,265,necrosis
246,810.3212514,591.3949952,360,necrosis
247,817.345964,609.3939734,365,necrosis
249,803.2965389,613.8937179,385,necrosis
250,792.9660793,617.1078211,285,necrosis
252,786.7678035,574.6816584,245,necrosis
253,782.2224013,585.6096094,240,necrosis
254,777.2637807,570.1819139,235,necrosis
255,793.7925161,588.180892,330,necrosis
256,804.5361941,567.6106313,330,necrosis
257,775.1976888,583.6811475,220,necrosis
258,768.5861946,571.4675552,220,necrosis
259,763.2143556,601.6801256,255,necrosis
261,761.5614821,565.0393487,275,necrosis
262,746.2724019,563.1108868,250,necrosis
263,733.0494136,534.1839577,205,necrosis
264,719.8264253,550.8972945,235,necrosis
265,718.1735518,570.1819139,270,necrosis
271,703.2976899,615.1793592,910,necrosis
272,689.2482649,615.1793592,315,necrosis
273,688.4218281,601.0373049,300,necrosis
275,678.5045869,590.1093539,285,necrosis
282,711.975276,503.3285666,205,necrosis
283,722.718954,484.0439472,205,necrosis
284,714.4545863,476.9729201,185,necrosis
285,700.4051612,475.0444581,220,necrosis
286,694.2068855,495.6147188,270,necrosis
290,657.8436677,550.8972945,580,necrosis
291,653.7114838,538.0408815,540,necrosis
292,642.9678058,535.469599,480,necrosis
293,654.1247022,519.3990828,655,necrosis
294,667.3476905,522.613186,665,necrosis
298,686.3557362,477.6157407,315,necrosis
299,671.066656,455.1170181,200,necrosis
300,660.322978,469.2590723,155,necrosis
301,658.6701044,486.6152298,160,necrosis
305,630.9844727,460.2595833,245,necrosis
307,659.0833228,449.9744529,265,necrosis
308,648.3396448,448.045991,365,necrosis
309,641.3149323,436.4752193,255,necrosis
310,632.6373462,442.9034258,240,necrosis
311,623.9597602,448.6888116,250,necrosis
312,615.2821741,455.1170181,245,necrosis
313,617.348266,437.11804,220,necrosis
314,618.5879212,422.3331651,230,necrosis
315,633.0505646,422.3331651,220,necrosis
316,639.6620588,410.7623934,190,necrosis
317,623.5465418,394.0490566,205,necrosis
318,634.7034381,397.2631598,175,necrosis
319,628.9183808,379.9070024,210,necrosis
320,619.4143579,356.7654591,225,necrosis
321,616.9350476,371.550334,205,necrosis
322,609.9103351,368.9790514,210,necrosis
323,602.4724042,377.9785404,210,necrosis
324,595.4476916,396.6203392,255,necrosis
325,599.1666571,414.6193173,215,necrosis
